Nombre: Ana, Antiguedad: 3
Nombre: Luis, Antiguedad: 2
Nombre: Carlos, Antiguedad: 5
Nombre: Marta, Antiguedad: 0
Nombre: Carla, Antiguedad: 1
Nombre: Juan, Antiguedad: 4
Nombre: Carmen, Antiguedad: 2
Nombre: Pedro, Antiguedad: 5
Nombre: Lucas, Antiguedad: 3
Nombre: Elena, Antiguedad: 0
Nombre: Pablo, Antiguedad: 4
Nombre: Clara, Antiguedad: 1
Nombre: Javier, Antiguedad: 5
Nombre: Beatriz, Antiguedad: 2
Nombre: Miguel, Antiguedad: 1
Nombre: Laura, Antiguedad: 0
Nombre: David, Antiguedad: 3
Nombre: Olga, Antiguedad: 4
Nombre: Alberto, Antiguedad: 1
Nombre: Gabriela, Antiguedad: 2
